2019.08.05,1439.85,1469.59,1436.68,1463.73,45628,0
2019.08.02,1444.74,1448.6,1430.24,1440.89,58304,0
2019.08.01,1413.42,1445.9,1400.39,1443.87,57066,0
2019.07.31,1430.79,1434.08,1410.39,1412.49,45878,0
2019.07.30,1426.52,1433.06,1422.21,1430.62,31197,0
2019.07.29,1418.69,1428.04,1414.68,1426.58,26851,0
2019.07.26,1414.07,1424.72,1413.35,1418.3,32873,0
2019.07.25,1426.02,1433.68,1411.03,1414.04,44893,0
2019.07.24,1417.78,1429.46,1416.22,1425.39,39763,0
2019.07.23,1425.23,1430.04,1414.08,1417.39,40957,0
2019.07.22,1427.39,1429.77,1422.14,1424.5,41046,0
2019.07.19,1446.14,1452.87,1420.13,1424.78,58843,0
2019.07.18,1425.82,1448.01,1414.51,1445.98,51521,0
2019.07.17,1405.75,1426.66,1399.99,1425.93,35063,0
2019.07.16,1413.8,1418.14,1400.97,1405.53,36489,0
2019.07.15,1415.41,1419.64,1407.58,1413.63,33559,0
2019.07.12,1403.98,1416.77,1403.04,1415.17,36643,0
2019.07.11,1418.29,1427,1400.99,1403.49,43688,0
2019.07.10,1397.22,1418.72,1389.81,1418.59,42551,0
2019.07.09,1395.02,1399.79,1385.66,1397.3,35530,0
2019.07.08,1398.28,1407.48,1391.63,1395.05,40168,0
2019.07.05,1415.83,1424.1,1386.62,1398.44,49739,0
2019.07.04,1418.58,1421.56,1410.13,1415.18,26874,0
2019.07.03,1421.61,1437.58,1412,1418.4,61094,0
2019.07.02,1383.38,1420.91,1383.1,1417.94,51745,0
2019.07.01,1398.54,1398.54,1381.72,1384.15,60100,0
2019.06.28,1409.7,1424.55,1405.59,1409.38,53342,0
2019.06.27,1409.13,1412.07,1398.61,1409.73,51486,0
2019.06.26,1423.56,1423.99,1401.86,1408.89,70047,0
2019.06.25,1419.38,1439.04,1411.87,1423.09,79550,0
2019.06.24,1400,1421.26,1399.45,1419.29,52778,0
2019.06.21,1387.14,1411.71,1382.43,1398.66,73412,0
2019.06.20,1360.06,1393.79,1357.61,1388.18,63933,0
2019.06.19,1345.91,1362.49,1341.26,1360.18,52335,0
2019.06.18,1339.2,1354.52,1338.54,1346.39,54742,0
2019.06.17,1341.77,1343.42,1332.88,1339.52,39039,0
2019.06.14,1341.65,1358.07,1337.76,1341.33,47603,0
2019.06.13,1333.11,1343.03,1332.33,1341.83,34792,0
2019.06.12,1326.39,1338.31,1325.93,1333.36,39368,0
2019.06.11,1327.55,1329.79,1319.78,1326.58,37503,0
2019.06.10,1336.64,1337.59,1324.98,1327.84,38615,0
2019.06.07,1335.34,1348.18,1330.18,1340.3,40773,0
2019.06.06,1332,1339.74,1327.13,1335.36,42708,0
2019.06.05,1324.3,1343.99,1324.25,1330.09,49702,0
2019.06.04,1324.24,1328.95,1319.82,1325.1,38816,0
2019.06.03,1307.39,1327.87,1305.93,1324.6,39135,0
2019.05.31,1288.33,1306.87,1287.88,1305.35,36975,0
2019.05.30,1279.71,1289.12,1274.92,1288.28,29268,0
2019.05.29,1279.42,1285.46,1279.06,1279.69,31727,0
2019.05.28,1284.87,1286.46,1276.06,1279.23,26591,0
2019.05.27,1284.57,1287.28,1283.67,1284.91,11646,0
2019.05.24,1283.01,1285.12,1280.68,1284.68,22475,0
2019.05.23,1273.21,1287.22,1272.73,1283.27,28911,0
2019.05.22,1274.51,1277.21,1272.38,1273.22,22481,0
2019.05.21,1277.53,1277.81,1269.37,1274.62,23545,0
2019.05.20,1277.22,1278.87,1273.56,1277.6,24527,0
2019.05.17,1286.47,1288.84,1274.67,1277.54,38070,0
2019.05.16,1296.03,1298.67,1283.78,1286.47,34994,0
2019.05.15,1296.54,1300.79,1292.94,1296.33,36272,0
2019.05.14,1299.29,1303.19,1293.6,1296.78,32589,0
2019.05.13,1287.48,1301.14,1281.86,1299.65,44703,0
2019.05.10,1283.52,1289.32,1283.06,1285.59,48224,0
2019.05.09,1280.23,1288.12,1279.51,1283.75,46204,0
2019.05.08,1284.07,1291.39,1279.2,1280.67,41659,0
2019.05.07,1281.02,1285.98,1278.08,1284.24,39542,0
2019.05.06,1280.3,1285.72,1276.88,1280.27,40039,0
2019.05.03,1270.56,1282.47,1268.52,1278.86,39091,0
2019.05.02,1276.91,1277.86,1266.18,1270.41,37860,0
2019.05.01,1283.24,1287.18,1272.78,1276.56,42701,0
2019.04.30,1279.94,1286.09,1279.57,1283.32,36008,0
2019.04.29,1286.36,1286.79,1277.96,1279.64,29956,0
2019.04.26,1276.72,1288.62,1274.32,1285.8,38700,0
2019.04.25,1275.46,1282.5,1273.26,1277.05,34006,0
2019.04.24,1271.97,1278.44,1268.67,1275.47,32631,0
2019.04.23,1274.46,1276.39,1266.18,1272.16,30381,0
2019.04.22,1275.66,1279.72,1273.69,1274.73,21482,0
2019.04.18,1273.06,1277.6,1271.04,1275.47,31224,0
2019.04.17,1276.65,1279.66,1272.9,1273.84,32668,0
2019.04.16,1287.66,1288.67,1272.84,1276.65,37228,0
2019.04.15,1290.87,1291.85,1282.38,1287.74,30285,0
2019.04.12,1292.19,1295.68,1289.88,1290.33,35092,0
2019.04.11,1307.63,1309.08,1289.48,1292.46,40282,0
2019.04.10,1303.65,1310.48,1300.85,1307.89,33574,0
2019.04.09,1297.43,1306.1,1296.5,1303.9,32811,0
2019.04.08,1291.41,1303.61,1291.34,1297.26,23122,0
2019.04.05,1292.03,1293.48,1284.3,1291.34,27039,0
2019.04.04,1289.45,1294.34,1280.83,1291.75,27023,0
2019.04.03,1292.08,1294.47,1288.29,1289.42,27007,0
2019.04.02,1287.25,1292.51,1285.19,1292.06,25695,0
2019.04.01,1292.31,1296.92,1286.32,1287.24,35786,0
2019.03.29,1289.98,1299.66,1286.61,1291.79,36292,0
2019.03.28,1309.19,1312.19,1288.43,1289.86,40559,0
2019.03.27,1315.21,1319.24,1307.97,1309.12,49818,0
2019.03.26,1321.43,1323.16,1312.58,1315.13,31967,0
2019.03.25,1313.34,1324.38,1310.92,1321.66,33763,0
2019.03.22,1309.01,1314.87,1306.74,1313.06,39483,0
2019.03.21,1312.1,1320.3,1303.12,1308.95,38355,0
2019.03.20,1306.07,1316.89,1298.52,1312.13,37122,0
2019.03.19,1303.35,1310.82,1302.22,1306.06,30088,0
2019.03.18,1301.94,1306.62,1298.12,1303.23,25946,0
2019.03.15,1295.7,1306.31,1293.88,1301.91,30335,0
2019.03.14,1309.12,1310.24,1292.68,1295.77,31055,0
2019.03.13,1300.93,1311.14,1300.28,1308.64,28199,0
2019.03.12,1293.3,1302.14,1291.91,1300.96,29898,0
2019.03.11,1297.3,1298.99,1290.37,1293,29744,0
2019.03.08,1285.84,1300.7,1284.98,1298.16,41182,0
2019.03.07,1286.19,1288.94,1280.64,1285.17,35831,0
2019.03.06,1287.35,1290.81,1283.44,1285.91,33117,0
2019.03.05,1286.41,1289.5,1281.08,1287.42,34636,0
2019.03.04,1293.21,1296.91,1282.75,1286.24,37036,0
2019.03.01,1313.66,1315.12,1290.07,1293.33,43105,0
2019.02.28,1319.32,1327.17,1312.5,1312.76,41381,0
2019.02.27,1328.54,1329.76,1316.68,1319.39,28017,0
2019.02.26,1327.47,1330.1,1323.37,1328.59,34870,0
2019.02.25,1329.15,1332.46,1324.97,1326.99,36868,0
2019.02.22,1323.03,1333,1321.45,1327.57,40104,0
2019.02.21,1338.53,1341.38,1320.83,1322.94,44247,0
2019.02.20,1340.21,1346.61,1336.78,1338.07,42030,0
2019.02.19,1325.8,1341.76,1322.76,1340.74,37870,0
2019.02.18,1321.36,1327.56,1318.76,1326.18,21614,0
2019.02.15,1312.44,1322.52,1311.24,1320.87,36649,0
2019.02.14,1305.57,1314.3,1302.29,1312.04,38211,0
2019.02.13,1310.46,1318.06,1304.89,1305.73,34625,0
2019.02.12,1308.03,1314.63,1306.4,1310.32,28681,0
2019.02.11,1313.77,1314.74,1303.54,1307.79,27393,0
2019.02.08,1309.69,1315.55,1307.67,1313.69,24879,0
2019.02.07,1306.49,1311.85,1302.68,1309.74,31123,0
2019.02.06,1314.98,1315.69,1305.53,1306.04,25108,0
2019.02.05,1311.74,1316.72,1310.61,1314.81,26732,0
2019.02.04,1317.88,1318.81,1308.48,1311.7,28978,0
2019.02.01,1321.08,1323.45,1316.01,1317.3,37541,0
2019.01.31,1319.6,1326.2,1317.31,1320.96,40909,0
2019.01.30,1311.13,1323.26,1308.87,1319.56,42862,0
2019.01.29,1302.83,1311.93,1302.61,1311.42,32947,0
2019.01.28,1302.83,1304.3,1297.56,1302.81,27426,0
2019.01.25,1280.63,1303.92,1279.84,1302.59,36830,0
2019.01.24,1282.64,1284.66,1276.66,1280.68,30214,0
2019.01.23,1284.92,1286.42,1278.54,1282.35,25821,0
2019.01.22,1279.37,1285.36,1277.3,1284.65,30170,0
2019.01.21,1281.2,1283.42,1276.7,1279.98,18731,0
2019.01.18,1292.08,1292.35,1280.51,1281.38,31979,0
2019.01.17,1293.89,1295.28,1288.56,1291.55,33323,0
2019.01.16,1289.33,1294.91,1287.73,1293.13,34188,0
2019.01.15,1291.86,1294.54,1286.58,1289.03,39355,0
2019.01.14,1287.3,1295.74,1286.98,1291.41,32508,0
2019.01.11,1286.62,1295.05,1286.45,1287.39,33482,0
2019.01.10,1293.69,1296.98,1286.01,1286.1,40395,0
2019.01.09,1284.45,1293.85,1279.96,1292.79,47639,0
2019.01.08,1288.59,1290.13,1279.26,1284.88,40323,0
2019.01.07,1285.22,1294.98,1282.51,1288.69,43686,0
2019.01.04,1294.04,1298.47,1276.5,1284.78,59353,0
2019.01.03,1286.1,1294.91,1284.46,1293.75,55424,0
2019.01.02,1285.76,1288.65,1278.59,1284.4,33013,0
2018.12.31,1280.14,1283.97,1277.36,1281.19,23407,0
2018.12.28,1275.42,1282.05,1274.15,1280.59,42224,0
2018.12.27,1266.52,1278.92,1266.29,1275.28,48369,0
2018.12.26,1273.77,1279,1264.51,1266.55,34631,0
2018.12.24,1257.27,1268.32,1256.83,1268.16,29251,0
2018.12.21,1260.29,1262.65,1253.8,1255.29,43335,0
2018.12.20,1243.08,1266.38,1242.63,1259.34,59466,0
2018.12.19,1249.61,1257.99,1241.56,1242.6,74639,0
2018.12.18,1245.75,1250.28,1244.91,1249.03,54560,0
2018.12.17,1238.96,1248.01,1235.42,1245.44,43242,0
2018.12.14,1241.47,1242.9,1232.79,1238.3,61645,0
2018.12.13,1245.4,1246.63,1240,1241.59,59682,0
2018.12.12,1243.06,1247.14,1241.88,1245.2,56981,0
2018.12.11,1243.97,1249.41,1240.91,1242.62,72706,0
2018.12.10,1249.49,1250.44,1241.5,1244.02,68346,0
2018.12.07,1237.41,1249.93,1237.11,1248.31,56637,0
2018.12.06,1237.42,1244.24,1234.63,1237.4,75081,0
2018.12.05,1238.61,1239.15,1233.2,1236.74,25031,0
2018.12.04,1230.57,1241.84,1230.4,1238.12,63295,0
2018.12.03,1221.84,1234.81,1221.2,1230.32,57886,0
2018.11.30,1223.85,1225.44,1216.57,1222.06,49371,0
2018.11.29,1220.32,1228.91,1220.3,1223.92,57121,0
2018.11.28,1214.49,1226.6,1211.1,1220.58,48408,0
2018.11.27,1221.98,1225.16,1211.81,1214.59,47807,0
2018.11.26,1223.19,1228.02,1221.6,1221.82,44688,0
2018.11.23,1227.27,1228.46,1220.29,1223.04,40673,0
2018.11.22,1225.62,1229.01,1224.76,1226.93,31599,0
2018.11.21,1221.57,1229.98,1219.6,1225.65,48707,0
2018.11.20,1223.96,1228.67,1219.88,1221.55,62886,0
2018.11.19,1221.78,1225.11,1217.92,1223.71,47779,0
2018.11.16,1213.53,1225.18,1213.1,1221.2,56014,0
2018.11.15,1208.72,1216.36,1207.51,1212.86,65850,0
2018.11.14,1202.24,1216.42,1197.59,1210.76,72252,0
2018.11.13,1200.19,1205.06,1196.16,1201.72,57274,0
2018.11.12,1207.97,1211.34,1199.88,1200.11,48618,0
2018.11.09,1223.11,1223.38,1206.6,1209.42,56538,0
2018.11.08,1226.07,1226.98,1219.93,1223.04,53887,0
2018.11.07,1226.9,1236.38,1222.88,1226.44,84439,0
2018.11.06,1231.32,1235.84,1223.39,1226.54,55085,0
2018.11.05,1232.61,1235.05,1226.77,1231.21,48659,0
2018.11.02,1233.79,1236.32,1229.61,1232.75,68832,0
2018.11.01,1214.57,1237.32,1214.37,1232.78,58802,0
2018.10.31,1222.71,1223.18,1211.86,1214.25,55713,0
2018.10.30,1229.66,1230.48,1219.76,1222.69,50026,0
2018.10.29,1233.63,1235.32,1224.2,1229,65768,0
2018.10.26,1231.65,1243.31,1229.93,1233.33,82137,0
2018.10.25,1234.08,1239.08,1227.97,1231.78,56285,0
2018.10.24,1230.24,1233.9,1225.5,1233.77,56442,0
2018.10.23,1221.55,1239.66,1221.55,1230.06,54265,0
2018.10.22,1227.13,1229.46,1219.93,1221.71,47447,0
2018.10.19,1225.32,1230.69,1222.96,1226.08,57118,0
2018.10.18,1221.74,1230.05,1218.58,1225.42,58221,0
2018.10.17,1224.39,1229.38,1220.48,1221.86,51358,0
2018.10.16,1226.65,1232.31,1223.32,1224.44,55619,0
2018.10.15,1217.46,1233.17,1216.7,1226.48,59600,0
2018.10.12,1223.88,1224.06,1215.75,1217.86,60495,0
2018.10.11,1194.2,1226.25,1191.17,1223.88,81257,0
2018.10.10,1189.03,1194.7,1185.2,1194.33,58152,0
2018.10.09,1188.5,1191.78,1183.13,1189.37,58100,0
2018.10.08,1202.92,1203.99,1183.26,1187.55,34390,0
2018.10.05,1199.88,1205.71,1197.15,1202.63,77106,0
2018.10.04,1197.42,1206.69,1195.93,1199.38,67651,0
2018.10.03,1202.68,1208.2,1196.43,1196.95,59527,0
2018.10.02,1188.56,1208.14,1188.35,1202.65,66791,0
2018.10.01,1192.19,1192.28,1184.46,1188.55,50223,0
2018.09.28,1182.75,1193.68,1180.54,1191.88,61135,0
2018.09.27,1194.61,1198.44,1181.73,1182.34,60457,0
2018.09.26,1200.69,1202.38,1190.39,1194.01,83738,0
2018.09.25,1198.59,1203.22,1196.95,1200.71,52216,0
2018.09.24,1198.81,1204.08,1194.3,1198.4,49463,0
2018.09.21,1207.03,1210.97,1191.73,1199.49,67494,0
2018.09.20,1204.04,1208.34,1201.22,1206.95,66463,0
2018.09.19,1198.13,1206.1,1197.4,1203.53,66403,0
2018.09.18,1201.18,1203.47,1195.76,1197.9,77985,0
2018.09.17,1193.84,1204.71,1192.69,1201.02,57866,0
2018.09.14,1201.38,1208.46,1192.78,1193.22,70541,0
2018.09.13,1206.08,1212.54,1200.01,1200.99,71856,0
2018.09.12,1198.16,1208.37,1192.57,1205.74,63706,0
2018.09.11,1194.83,1199.3,1187.6,1198.29,61478,0
2018.09.10,1194.88,1198.43,1191.38,1195.47,67378,0
2018.09.07,1199.97,1203.41,1193.36,1195.62,76567,0
2018.09.06,1196.26,1206.89,1195.7,1199.69,66555,0
2018.09.05,1191.46,1198.31,1190.7,1196.3,62987,0
2018.09.04,1201.24,1201.87,1189.5,1190.98,73070,0
2018.09.03,1200.64,1203.74,1195.54,1201.15,47802,0
2018.08.31,1200.38,1208.73,1198.15,1200.87,72981,0
2018.08.30,1206.66,1207.75,1196.19,1199.42,58403,0
2018.08.29,1200.36,1207.2,1200.36,1206.16,55825,0
2018.08.28,1211.12,1214.15,1199.47,1200.65,61536,0
2018.08.27,1207.04,1212.27,1202.95,1210.89,45517,0
2018.08.24,1184.94,1208.44,1183.1,1205.77,65908,0
2018.08.23,1196.03,1196.48,1183.74,1184.86,61989,0
2018.08.22,1196.04,1201.46,1192.49,1195.07,66125,0
2018.08.21,1190.11,1196.9,1187.59,1195.72,66824,0
2018.08.20,1183.21,1190.73,1182.64,1190.07,50230,0
2018.08.17,1173.99,1184.94,1171.77,1184.82,62676,0
2018.08.16,1175.53,1181.89,1160.01,1173.71,90094,0
2018.08.15,1193.9,1194.59,1173.01,1174.35,75117,0
2018.08.14,1193.83,1198.61,1191.88,1193.58,59308,0
2018.08.13,1210.77,1213.74,1191.54,1193.19,87377,0
2018.08.10,1212.15,1217.01,1205.64,1210.97,74158,0
2018.08.09,1213.85,1217.19,1210.64,1211.89,54024,0
2018.08.08,1210.8,1215.74,1206.35,1213.44,49075,0
2018.08.07,1207.31,1216.01,1207.02,1210.77,41797,0
2018.08.06,1213.57,1217.78,1206.13,1207.15,43004,0
2018.08.03,1207.14,1219.91,1204.36,1213.24,92551,0
2018.08.02,1215.79,1221.06,1206.99,1207.59,86936,0
2018.08.01,1223.46,1224.71,1215.63,1215.74,87234,0
2018.07.31,1221.39,1228.51,1213.85,1223.49,99345,0
2018.07.30,1221.97,1224.95,1218.9,1221.42,60130,0
2018.07.27,1222.74,1227.24,1217.46,1222.48,96024,0
2018.07.26,1231.79,1235.09,1222.24,1222.36,128345,0
2018.07.25,1224.28,1234.01,1223.14,1231.32,112038,0
2018.07.24,1224.22,1229.4,1218.02,1224.21,121839,0
2018.07.23,1231.08,1235.02,1222.17,1224.4,104651,0
2018.07.20,1222.83,1232.14,1215.54,1231.45,132046,0
2018.07.19,1227.01,1228.97,1211.38,1222.63,124309,0
2018.07.18,1226.64,1229.04,1220.96,1227.28,84322,0
2018.07.17,1240.33,1244.91,1225.94,1227.45,92139,0
2018.07.16,1240.62,1245.43,1238.22,1240.66,63310,0
2018.07.13,1246.89,1248.01,1236.27,1241.4,125440,0
2018.07.12,1243.84,1248.48,1241.21,1246.88,117451,0
2018.07.11,1255.89,1256.81,1241.44,1241.88,125322,0
2018.07.10,1257.46,1260.26,1247.23,1255.28,86764,0
2018.07.09,1255.17,1265.82,1254.69,1257.32,79746,0
2018.07.06,1257.36,1258.66,1252.69,1254.66,99294,0
2018.07.05,1256.04,1259.65,1251.2,1257.42,104590,0
2018.07.04,1252.17,1260.99,1251.89,1257.32,73585,0
2018.07.03,1241.59,1256.73,1237.84,1252.55,99065,0
2018.07.02,1251.9,1254.08,1239.57,1241.7,96450,0
2018.06.29,1247.91,1255.45,1246.01,1252.5,101379,0
2018.06.28,1251.85,1254.15,1245.84,1247.96,113134,0
2018.06.27,1258.89,1260,1250.61,1251.82,114708,0
2018.06.26,1265.44,1267.54,1254.65,1258.63,93567,0
2018.06.25,1269.91,1272.45,1264.39,1265.25,84703,0
2018.06.22,1266.65,1271,1266.4,1269.04,86284,0
2018.06.21,1267.62,1270.01,1261.21,1266.89,111339,0
2018.06.20,1274.62,1276.32,1267.48,1267.73,92355,0
2018.06.19,1277.97,1283.92,1270.33,1274.29,117198,0
2018.06.18,1278.18,1282.29,1276.96,1278.14,70106,0
2018.06.15,1302.29,1303,1275.3,1279.61,118815,0
2018.06.14,1299.22,1309.19,1297.44,1301.88,100616,0
2018.06.13,1295.47,1301.12,1291.44,1299.31,92791,0
2018.06.12,1300.02,1300.37,1293.14,1295.58,94018,0
2018.06.11,1299.66,1302.07,1294.01,1300.05,73327,0
2018.06.08,1296.91,1300.45,1292.17,1298.36,96892,0
2018.06.07,1296.49,1303.06,1294.74,1296.91,108875,0
2018.06.06,1296.27,1301.71,1293.7,1296.31,91189,0
2018.06.05,1292.03,1300.4,1289.71,1296.23,93910,0
2018.06.04,1292.11,1297.93,1290.1,1291.72,87898,0
2018.06.01,1298.72,1300.47,1289.23,1292.73,127484,0
2018.05.31,1301.34,1306.35,1297.21,1298.03,141462,0
2018.05.30,1298.34,1304.23,1295.8,1301.1,168050,0
2018.05.29,1297.7,1306.42,1292.71,1298.5,199153,0
2018.05.28,1299.52,1300.25,1295.4,1297.78,84297,0
2018.05.25,1304.08,1307.68,1299.77,1301.24,158081,0
2018.05.24,1293.73,1306.5,1292.65,1304.55,104994,0
2018.05.23,1291.36,1298.44,1287.79,1293.19,134501,0
2018.05.22,1292.36,1296.14,1287.83,1291.13,98719,0
2018.05.21,1290.65,1292.99,1281.96,1292.47,91610,0
2018.05.18,1290.58,1294.08,1285.97,1292.87,84100,0
2018.05.17,1290.35,1294.3,1284.9,1290.65,99956,0
2018.05.16,1290.2,1296.76,1286.28,1290.56,114167,0
2018.05.15,1312.67,1314.76,1288.59,1290.37,115551,0
2018.05.14,1318.15,1322.23,1312.86,1313.16,92913,0
2018.05.11,1321.39,1325.82,1317.19,1318.05,100332,0
2018.05.10,1312.34,1322.77,1310.64,1321.08,134384,0
2018.05.09,1314.66,1317.35,1304.18,1312.52,120035,0
2018.05.08,1313.57,1317.71,1305.94,1314.16,135876,0
2018.05.07,1314.88,1318.88,1310.14,1313.97,90123,0
2018.05.04,1311.92,1315.32,1307.88,1314.77,117082,0
2018.05.03,1304.48,1317.96,1304.3,1311.96,127896,0
2018.05.02,1303.57,1313.35,1303.39,1304.57,131956,0
2018.05.01,1314.7,1316.19,1301.64,1303.76,97663,0
2018.04.30,1322.44,1325.79,1310.13,1315.1,103704,0
2018.04.27,1316.79,1325.05,1315.27,1323.3,110785,0
2018.04.26,1322.53,1326.44,1315.15,1316.74,123060,0
2018.04.25,1330.22,1331.9,1318.71,1323.17,105181,0
2018.04.24,1324.2,1332.57,1321.96,1330.19,123196,0
2018.04.23,1333.84,1335.38,1321.99,1324.55,107006,0
2018.04.20,1345.56,1346.06,1334.87,1335.53,114286,0
2018.04.19,1348.94,1354.57,1340.85,1345.32,139586,0
2018.04.18,1347.44,1355.59,1342.2,1349.11,122840,0
2018.04.17,1345.81,1349.32,1337.59,1347.01,116211,0
2018.04.16,1346.58,1350.38,1340.01,1345.62,123682,0
2018.04.13,1334.63,1347.02,1333.18,1344.87,124239,0
2018.04.12,1352.74,1353.06,1333.64,1334.81,142099,0
2018.04.11,1339.53,1365.14,1338.98,1352.99,157165,0
2018.04.10,1335.98,1342.46,1330.95,1339.36,127319,0
2018.04.09,1334.33,1337.81,1326.75,1336.07,118225,0
2018.04.06,1326.26,1335.33,1319.62,1332.9,153782,0
2018.04.05,1333.05,1334.8,1322.65,1326.38,111977,0
2018.04.04,1332.56,1348.16,1331.41,1333.03,141200,0
2018.04.03,1340.77,1342.38,1328.78,1332.57,124482,0
2018.04.02,1325.6,1344.73,1324.68,1341.11,110343,0
2018.03.29,1324.71,1328.22,1321.12,1324.94,103867,0
2018.03.28,1345.53,1346.95,1323.32,1324.62,134735,0
2018.03.27,1353.42,1356.74,1339.69,1344.56,122220,0
2018.03.26,1347.1,1355.83,1343.39,1353.29,134032,0
2018.03.23,1329.01,1350.11,1328.88,1346.74,155632,0
2018.03.22,1331.8,1334.85,1324.68,1328.71,136759,0
2018.03.21,1310.83,1336.51,1309.72,1331.85,125944,0
2018.03.20,1316.52,1318.16,1307.11,1310.83,91991,0
2018.03.19,1313.13,1319.51,1307.67,1316.69,89442,0
2018.03.16,1316.12,1321.65,1309.56,1313.65,87966,0
2018.03.15,1324.54,1327.81,1314.85,1315.93,89330,0
2018.03.14,1325.79,1329.91,1321.37,1324.73,106325,0
2018.03.13,1322.85,1328.19,1313.52,1326.2,112807,0
2018.03.12,1323.44,1324.19,1315,1322.83,131330,0
2018.03.09,1321.75,1325.03,1312.79,1323.14,215995,0
2018.03.08,1325.22,1328.92,1318.95,1321.75,235871,0
2018.03.07,1337.97,1340.37,1322.05,1325.32,279136,0
2018.03.06,1319.68,1338.4,1319.6,1334.42,278859,0
2018.03.05,1323.68,1327.66,1317.43,1320.16,270041,0
2018.03.02,1316.88,1325.32,1315.15,1322.17,281820,0
2018.03.01,1318.08,1321.08,1302.69,1316.75,310683,0
2018.02.28,1317.76,1322.4,1315.54,1317.85,238134,0
2018.02.27,1332.78,1336.65,1313.33,1318.29,264566,0
2018.02.26,1328.04,1340.9,1326.56,1333.07,224978,0
2018.02.23,1331.23,1332.01,1325.72,1328.78,211594,0
2018.02.22,1323.89,1332,1320.85,1331.81,261180,0
2018.02.21,1328.97,1336.16,1322.29,1324.32,277665,0
2018.02.20,1346.37,1348.1,1328.33,1329.24,264639,0
2018.02.19,1347.23,1351.27,1345.74,1346.14,145482,0
2018.02.16,1353.93,1361.61,1344.67,1347.03,262760,0
2018.02.15,1349.36,1357.06,1348.48,1353.04,263934,0
2018.02.14,1329.15,1355.57,1317.79,1350.22,281535,0
